design,grade,temp,margin_peak_min,margin_avg_min,margin_peak_s0,worst_z,worst_s,worst_part,worst_slab,worst_zone,worst_avgBz
opp24c3,N52,60.0,0.506,0.759,0.514,0.0,-0.4467,A,facing,core,0.3066
opp24c3,N52,80.0,0.446,0.669,0.453,0.0,-0.4467,A,facing,core,0.2984
opp24c3,N52,100.0,0.382,0.573,0.389,0.0,-0.4467,A,facing,core,0.2903
opp24c3,N52,120.0,0.315,0.473,0.321,0.0,-0.4467,A,facing,core,0.2821
opp24c3,N45SH,60.0,1.015,1.523,1.034,0.0,-0.4467,A,facing,core,0.2786
opp24c3,N45SH,80.0,0.901,1.352,0.918,0.0,-0.4467,A,facing,core,0.2711
opp24c3,N45SH,100.0,0.781,1.171,0.796,0.0,-0.4467,A,facing,core,0.2637
opp24c3,N45SH,120.0,0.654,0.981,0.667,0.0,-0.4467,A,facing,core,0.2562
opp24c3,N38UH,60.0,1.370,2.055,1.397,0.0,-0.4467,A,facing,core,0.2606
opp24c3,N38UH,80.0,1.229,1.844,1.254,0.0,-0.4467,A,facing,core,0.2536
opp24c3,N38UH,100.0,1.081,1.622,1.103,0.0,-0.4467,A,facing,core,0.2466
opp24c3,N38UH,120.0,0.925,1.388,0.944,0.0,-0.4467,A,facing,core,0.2396
w_o3_m12_r,N52,60.0,0.806,1.209,0.841,0.0,0.9387,B,facing,rim,0.7043
w_o3_m12_r,N52,80.0,0.709,1.064,0.741,0.0,0.9387,B,facing,rim,0.6860
w_o3_m12_r,N52,100.0,0.608,0.912,0.636,0.0,0.9387,B,facing,rim,0.6676
w_o3_m12_r,N52,120.0,0.501,0.752,0.525,0.0,0.9387,B,facing,rim,0.6492
w_o3_m12_r,N45SH,60.0,1.614,2.421,1.691,0.0,0.9387,B,facing,rim,0.6412
w_o3_m12_r,N45SH,80.0,1.431,2.147,1.501,0.0,0.9387,B,facing,rim,0.6244
w_o3_m12_r,N45SH,100.0,1.240,1.859,1.302,0.0,0.9387,B,facing,rim,0.6076
w_o3_m12_r,N45SH,120.0,1.038,1.557,1.091,0.0,0.9387,B,facing,rim,0.5908
w_o3_m12_r,N38UH,60.0,2.174,3.261,2.285,0.0,0.9387,B,facing,rim,0.6008
w_o3_m12_r,N38UH,80.0,1.949,2.924,2.051,0.0,0.9387,B,facing,rim,0.5850
w_o3_m12_r,N38UH,100.0,1.713,2.570,1.805,0.0,0.9387,B,facing,rim,0.5692
w_o3_m12_r,N38UH,120.0,1.465,2.197,1.545,0.0,0.9387,B,facing,rim,0.5534
st_w03,N52,60.0,0.897,1.346,0.941,2.5,-1.2633,A,top,core,0.7728
st_w03,N52,80.0,0.790,1.185,0.830,2.5,-1.2633,A,top,core,0.7528
st_w03,N52,100.0,0.677,1.016,0.712,2.5,-1.2633,A,top,core,0.7328
st_w03,N52,120.0,0.559,0.838,0.588,2.5,-1.2633,A,top,core,0.7128
st_w03,N45SH,60.0,1.798,2.697,1.895,2.5,-1.2633,A,top,core,0.7042
st_w03,N45SH,80.0,1.595,2.392,1.684,2.5,-1.2633,A,top,core,0.6859
st_w03,N45SH,100.0,1.381,2.072,1.460,2.5,-1.2633,A,top,core,0.6676
st_w03,N45SH,120.0,1.156,1.735,1.225,2.5,-1.2633,A,top,core,0.6493
st_w03,N38UH,60.0,2.423,3.634,2.563,2.5,-1.2633,A,top,core,0.6602
st_w03,N38UH,80.0,2.172,3.258,2.302,2.5,-1.2633,A,top,core,0.6431
st_w03,N38UH,100.0,1.909,2.864,2.027,2.5,-1.2633,A,top,core,0.6258
st_w03,N38UH,120.0,1.632,2.449,1.736,2.5,-1.2633,A,top,core,0.6086
