case,mu,theta,box,S_center,resid_uT,resid_dir_deg,S_worst_probe,worst_probe
closed,100.0,0.0,60.0,6.845997311838525,292.141511148635,-0.00035991051807162094,6.845812159311405,xm
closed,325.0,0.0,60.0,20.261427213300745,98.70972952424039,-0.000394859252118322,20.260850593944564,xp
closed,325.0,0.0,120.0,20.071981031863714,99.6413855127232,-6.687632979246284e-05,20.07122527072346,ym
closed,325.0,90.0,60.0,20.261210570938335,98.71078497494615,90.00011806964405,20.260325068795492,xm
closed,1000.0,0.0,60.0,60.50953600837224,33.05264148320813,-0.008807560230467516,60.50441066672165,xm
s1k02,100.0,0.0,60.0,6.846950410985201,292.10084489456995,0.00283884197488809,6.846218941447446,yp
s1k02,100.0,45.0,60.0,5.7192450994303945,349.6965010643081,53.79918293778526,3.9942391907181,xp
s1k02,100.0,90.0,60.0,5.011747067106454,399.06243735374807,90.00213333676312,3.1003555519746433,xp
s1k02,325.0,0.0,60.0,20.264339097264383,98.69554543083979,0.00563433050216506,20.261719140654794,yp
s1k02,325.0,45.0,60.0,13.436620303554244,148.8469536845483,62.04269104334713,7.298487990634429,xp
s1k02,325.0,90.0,60.0,10.757116177537034,185.92343589041008,90.00291379175196,5.337252879637534,xp
s1k02,1000.0,0.0,60.0,60.51724237000939,33.04843250741284,0.007075948159233876,60.50948298825522,yp
s1k02,1000.0,45.0,60.0,32.558844616481196,61.427241155467954,67.64558019163925,15.397204495760777,xp
s1k02,1000.0,90.0,60.0,24.895500842817086,80.33580093959208,90.0037559343116,11.069229142196319,xp
s1k04,100.0,0.0,60.0,6.848697948234843,292.02631144150143,0.006083283030324746,6.8467864760822215,yp
s1k04,100.0,45.0,60.0,5.336342548907276,374.7885338450659,56.57065688906665,3.3731565432960666,xp
s1k04,100.0,90.0,60.0,4.521680151925781,442.31346154552773,90.00355825576459,2.544558183508853,xp
s1k04,325.0,0.0,60.0,20.269474681360904,98.67053939188318,0.01352678675675764,20.262965725898788,yp
s1k04,325.0,45.0,60.0,12.337133102188227,162.11221711187196,64.5120227117642,6.27196137539225,xp
s1k04,325.0,90.0,60.0,9.665299807984512,206.92581086287655,90.00441547781479,4.546054767324293,xp
s1k04,1000.0,0.0,60.0,60.532277370312215,33.04022394143213,0.01599905467774435,60.50825404410853,yp
s1k04,1000.0,45.0,60.0,30.845000989502314,64.84032860561987,68.88593257122297,14.204773019398832,xp
s1k04,1000.0,90.0,60.0,23.38334935791436,85.53094637501438,90.00583281076868,10.18805299454848,xp
s2k02,100.0,0.0,60.0,6.847651129624218,292.07095427914345,0.0022713013234262713,6.84680945957719,yp
s2k02,100.0,45.0,60.0,4.537105374966754,440.8096869503841,62.06474965214758,3.3451947770185577,xm
s2k02,100.0,90.0,60.0,3.6314384254823473,550.745948483031,90.00271083266382,2.5207114482863298,xm
s2k02,325.0,0.0,60.0,20.26635522554034,98.68572704575575,0.008230956973600632,20.263774815577605,yp
s2k02,325.0,45.0,60.0,6.763759275748754,295.6935512431581,76.35368382770233,4.137545476109058,xm
s2k02,325.0,90.0,60.0,4.921896001060482,406.3474725124375,90.00368516483495,2.956898421615051,xm
s2k02,1000.0,0.0,60.0,60.52369307133801,33.04491015845054,0.03293351839533754,60.51607284695379,yp
s2k02,1000.0,45.0,60.0,7.863921119545799,254.32605052827833,84.73279739277861,4.431408076272512,xm
s2k02,1000.0,90.0,60.0,5.584522163288963,358.13269990177906,90.00420692626557,3.137934429532593,xm
s2k04,100.0,0.0,60.0,6.850634827663622,291.9437468661705,0.004612784003823534,6.8475777257226325,yp
s2k04,100.0,45.0,60.0,3.7798345915352325,529.1236829460498,67.03802210816765,2.576192777447697,xm
s2k04,100.0,90.0,60.0,2.902864700856782,688.9745841098619,90.0015744426522,1.8895865984314775,xm
s2k04,325.0,0.0,60.0,20.27484847381292,98.64438703861134,0.01806985072382245,20.265661224312144,yp
s2k04,325.0,45.0,60.0,4.918519226369029,406.6264475042926,80.12475393143035,2.888969046458072,xm
s2k04,325.0,90.0,60.0,3.5304349099364467,566.502442622856,90.00177331707717,2.053376187184829,xm
s2k04,1000.0,0.0,60.0,60.54648110511081,33.03247296119373,0.057340940289307654,60.51994044490279,yp
s2k04,1000.0,45.0,60.0,5.367195834074089,372.6340647573979,86.40837274429997,2.9874501005371585,xm
s2k04,1000.0,90.0,60.0,3.802897467140714,525.9147839985654,90.00184314099229,2.113875171129065,xm
